,verylow,low,medium,high,extreme
370,5448,3408,328,0,0
371,6507,2677,0,0,0
372,8438,696,50,0,0
373,8192,992,0,0,0
374,7544,1640,0,0,0
375,8236,948,0,0,0
376,6494,2690,0,0,0
377,1722,4741,2721,0,0
378,3210,5259,715,0,0
379,2735,4769,1680,0,0
380,4936,3159,1070,19,0
381,3849,2321,2996,18,0
382,2589,4510,2085,0,0
383,5908,3276,0,0,0
384,3708,5318,158,0,0
385,4519,4665,0,0,0
386,8043,1141,0,0,0
387,4992,4192,0,0,0
388,1806,7032,346,0,0
389,3805,3872,1507,0,0
390,2622,3378,2856,328,0
391,2799,4023,2173,189,0
392,3884,4501,774,25,0
393,1966,4215,2960,43,0
394,3785,3715,1684,0,0
395,4168,4987,29,0,0
396,7738,1446,0,0,0
397,8336,848,0,0,0
398,9068,116,0,0,0
399,8630,554,0,0,0
400,8366,748,70,0,0
401,7129,2055,0,0,0
402,2382,5990,812,0,0
403,4067,3460,1584,73,0
404,4181,3143,1712,148,0
405,4278,3124,1770,12,0
406,5921,3186,77,0,0
407,5707,3415,62,0,0
408,6314,2870,0,0,0
409,3254,5926,4,0,0
410,6202,2941,41,0,0
411,4938,3873,373,0,0
412,5006,4178,0,0,0
413,7542,1642,0,0,0
414,231,3275,5659,19,0
415,2278,5787,1084,35,0
416,2964,3759,2099,362,0
417,1907,5099,2089,89,0
418,7308,1598,278,0,0
419,7412,1772,0,0,0
420,6704,2480,0,0,0
421,8078,1106,0,0,0
422,3822,5168,194,0,0
423,5915,3194,75,0,0
424,7671,1513,0,0,0
425,6512,2672,0,0,0
426,300,5459,3425,0,0
427,2897,4923,1022,342,0
428,2144,5104,1936,0,0
429,4096,4344,744,0,0
430,5362,3817,5,0,0
431,5799,3103,282,0,0
432,7388,1796,0,0,0
433,8070,1114,0,0,0
434,7143,2041,0,0,0
435,8590,594,0,0,0
436,3865,5115,204,0,0
437,5993,2667,524,0,0
438,2562,6120,502,0,0
439,3833,4920,431,0,0
440,2636,4393,2143,12,0
441,3880,3570,1697,37,0
442,7296,1887,1,0,0
443,5564,3620,0,0,0
444,5755,3252,177,0,0
445,6520,2663,1,0,0
446,6251,2925,8,0,0
447,4303,4823,58,0,0
448,6578,2606,0,0,0
449,6750,2406,28,0,0
450,4666,3861,657,0,0
451,2173,4294,2695,22,0
452,2009,3226,3710,239,0
453,3476,3554,2117,37,0
454,3440,5703,41,0,0
455,4299,4129,756,0,0
456,6885,2295,4,0,0
457,7449,1735,0,0,0
458,5854,3266,64,0,0
459,5211,3772,201,0,0
460,7041,2143,0,0,0
461,1343,4552,3283,6,0
462,2156,2439,2701,1887,1
463,2199,2581,3226,1178,0
464,1108,3545,2049,2390,92
465,2251,2240,2829,1864,0
466,1382,3898,3463,441,0
467,2625,4693,1866,0,0
468,4671,4476,37,0,0
469,4985,3618,581,0,0
470,4687,4118,379,0,0
471,6517,2661,6,0,0
472,7524,1660,0,0,0
473,5982,3195,7,0,0
474,4068,2555,2546,15,0
475,4208,1315,2011,1578,72
476,1187,3391,2413,2020,173
477,3356,2345,2731,752,0
478,5039,3838,307,0,0
479,3119,4355,1700,10,0
480,7775,1409,0,0,0
481,6425,2759,0,0,0
482,8988,196,0,0,0
483,6499,2685,0,0,0
484,4370,4334,480,0,0
485,3596,4049,1539,0,0
486,5269,3260,655,0,0
487,2566,4546,2069,3,0
488,2764,2858,3051,511,0
489,1300,4040,3475,369,0
490,4016,2933,2057,178,0
491,6219,2600,365,0,0
492,6201,2983,0,0,0
493,8685,499,0,0,0
494,6786,1705,693,0,0
495,7142,2042,0,0,0
496,1489,5461,2234,0,0
497,2427,5407,1350,0,0
498,2858,4578,1748,0,0
499,4238,2352,2475,119,0
500,3236,4856,1080,12,0
501,3726,5442,16,0,0
502,6270,2913,1,0,0
503,7188,1996,0,0,0
504,6772,2412,0,0,0
505,8161,1020,3,0,0
506,7779,1405,0,0,0
507,7160,1935,89,0,0
508,5979,3205,0,0,0
509,2728,4119,2337,0,0
510,1386,3331,4453,14,0
511,264,2262,4956,1696,6
512,812,4119,3273,980,0
513,1652,3782,3523,227,0
514,3105,4715,1358,6,0
515,3688,4010,1486,0,0
516,5063,3949,172,0,0
517,8156,1028,0,0,0
518,6422,2761,1,0,0
519,8801,383,0,0,0
520,8657,527,0,0,0
521,5644,3298,242,0,0
522,5122,3760,302,0,0
523,3891,5125,168,0,0
524,4591,1695,2517,381,0
525,3216,3472,1429,1067,0
526,3530,4478,1160,16,0
527,3142,4261,1781,0,0
528,6948,2236,0,0,0
529,4395,4713,76,0,0
530,5526,2983,675,0,0
531,8479,705,0,0,0
532,4468,4231,485,0,0
533,1646,5912,1626,0,0
534,3330,3987,1758,109,0
535,1909,2571,2588,1948,168
536,1354,3265,1330,3077,158
537,447,3512,3238,1985,2
538,2296,4963,1925,0,0
539,2284,4544,2353,3,0
540,7501,1683,0,0,0
541,6480,2704,0,0,0
542,3396,5154,634,0,0
543,5455,3196,533,0,0
544,5255,3885,44,0,0
545,3156,4723,1305,0,0
546,2915,2705,3274,290,0
547,4963,2752,1467,2,0
548,3426,1453,3352,953,0
549,208,3151,3100,2690,35
550,2013,6360,811,0,0
551,5950,3234,0,0,0
