,verylow,low,medium,high,extreme
1079,7160,2022,2,0,0
1080,5535,3554,95,0,0
1081,7886,1298,0,0,0
1082,8387,797,0,0,0
1083,7595,1589,0,0,0
1084,3336,5843,5,0,0
1085,4161,4872,151,0,0
1086,779,3821,4529,55,0
1087,2773,4789,1591,31,0
1088,2433,2447,3269,1018,17
1089,2784,2517,2169,1714,0
1090,2958,2760,2876,590,0
1091,5032,4131,21,0,0
1092,3734,5010,440,0,0
1093,8940,244,0,0,0
1094,7450,1734,0,0,0
1095,8417,767,0,0,0
1096,8407,777,0,0,0
1097,437,5187,3560,0,0
1098,2609,4416,2154,5,0
1099,3979,2672,2173,347,13
1100,2543,1811,1916,2174,740
1101,2486,2417,2453,1678,150
1102,1853,2880,1750,2695,6
1103,4701,3608,875,0,0
1104,4061,5116,7,0,0
1105,6446,2738,0,0,0
1106,7972,1212,0,0,0
1107,8167,1017,0,0,0
1108,3825,4755,604,0,0
1109,2200,6710,274,0,0
1110,3587,4627,965,5,0
1111,3886,3808,1466,24,0
1112,4898,2506,1644,132,4
1113,3601,4249,1288,46,0
1114,5246,3240,695,3,0
1115,2499,4931,1754,0,0
1116,6803,2119,262,0,0
1117,7048,2101,35,0,0
1118,6146,3038,0,0,0
1119,6944,2237,3,0,0
1120,8451,726,7,0,0
1121,2904,4711,1569,0,0
1122,3490,2503,2935,256,0
1123,2865,2013,1807,2294,205
1124,2986,1852,1555,2646,145
1125,3557,2044,1193,2372,18
1126,3761,3254,1470,699,0
1127,5205,2999,954,26,0
1128,6152,2989,43,0,0
1129,6582,2602,0,0,0
1130,3578,5606,0,0,0
1131,8538,646,0,0,0
1132,8595,589,0,0,0
1133,5513,3018,653,0,0
1134,6324,2695,165,0,0
1135,4077,1862,2928,317,0
1136,1210,4445,1881,1590,58
1137,1908,4074,2836,366,0
1138,4450,3444,1290,0,0
1139,2242,3377,2915,650,0
1140,6934,2238,12,0,0
1141,4138,4787,259,0,0
1142,7782,1392,10,0,0
1143,6447,2733,4,0,0
1144,7173,1708,303,0,0
1145,538,6082,2564,0,0
1146,1003,2972,3957,1200,52
1147,20,2575,5799,720,70
1148,1120,3241,2839,1850,134
1149,2514,2605,3125,940,0
1150,2699,3855,2195,435,0
1151,5433,3727,24,0,0
1152,7332,1852,0,0,0
1153,5177,3987,20,0,0
1154,3350,5608,226,0,0
1155,7782,1402,0,0,0
1156,4696,4319,169,0,0
1157,290,3530,4846,518,0
1158,2141,3283,2596,1164,0
1159,3698,1719,2400,1263,104
1160,1012,3111,1677,2007,1377
1161,2514,2066,1339,1706,1559
1162,3196,2445,1552,1991,0
1163,5348,3076,760,0,0
1164,5812,3240,132,0,0
1165,5825,3325,34,0,0
1166,7395,1789,0,0,0
1167,7241,1941,2,0,0
1168,4961,4075,148,0,0
1169,5548,3509,127,0,0
1170,3102,3983,2012,87,0
1171,1400,2805,3559,1222,198
1172,1451,2614,2993,2115,11
1173,2398,2431,2450,1905,0
1174,5736,2426,1022,0,0
1175,8806,378,0,0,0
1176,8565,619,0,0,0
1177,4294,4746,144,0,0
1178,5541,3113,530,0,0
1179,6917,2243,24,0,0
1180,3146,6004,34,0,0
1181,5210,2836,1092,46,0
1182,1786,4968,1906,524,0
1183,3462,1879,2163,1222,458
1184,760,2463,2263,2817,881
1185,1567,2630,2431,2286,270
1186,2919,3564,2685,16,0
1187,4898,3960,326,0,0
1188,7576,1520,88,0,0
1189,6395,2789,0,0,0
1190,6363,2763,58,0,0
1191,7618,1566,0,0,0
1192,8478,706,0,0,0
1193,3747,5427,10,0,0
1194,3475,3541,2090,78,0
1195,4873,1797,1869,645,0
1196,3792,1823,2509,949,111
1197,942,3361,2239,2635,7
1198,3203,3776,2145,60,0
1199,2586,4687,1802,109,0
